,endDate,msPlayed,userID,month,day
0,2023-03-01,2728862,1,2023-03,1
1,2023-03-01,3120122,0,2023-03,1
2,2023-03-01,9507940,2,2023-03,1
3,2023-03-02,1812763,0,2023-03,2
4,2023-03-02,7587651,2,2023-03,2
5,2023-03-03,4652475,0,2023-03,3
6,2023-03-03,7038717,2,2023-03,3
7,2023-03-04,1509322,0,2023-03,4
8,2023-03-04,12647120,2,2023-03,4
9,2023-03-05,3754238,1,2023-03,5
10,2023-03-05,5709341,2,2023-03,5
11,2023-03-06,9884522,1,2023-03,6
12,2023-03-06,3876687,2,2023-03,6
13,2023-03-06,3816155,0,2023-03,6
14,2023-03-07,6985074,2,2023-03,7
15,2023-03-07,3910106,0,2023-03,7
16,2023-03-07,1029374,1,2023-03,7
17,2023-03-08,4591679,2,2023-03,8
18,2023-03-08,3670358,0,2023-03,8
19,2023-03-08,2294489,1,2023-03,8
20,2023-03-09,2713383,2,2023-03,9
21,2023-03-09,1389948,0,2023-03,9
22,2023-03-10,16302436,2,2023-03,10
23,2023-03-10,4066824,1,2023-03,10
24,2023-03-10,3900524,0,2023-03,10
25,2023-03-11,12338801,2,2023-03,11
26,2023-03-11,3218866,0,2023-03,11
27,2023-03-11,4632154,1,2023-03,11
28,2023-03-12,8277485,2,2023-03,12
29,2023-03-12,4300985,0,2023-03,12
30,2023-03-13,6916972,2,2023-03,13
31,2023-03-13,802044,0,2023-03,13
32,2023-03-14,3217990,0,2023-03,14
33,2023-03-14,12303575,2,2023-03,14
34,2023-03-15,11118830,2,2023-03,15
35,2023-03-15,2991817,0,2023-03,15
36,2023-03-16,4362303,2,2023-03,16
37,2023-03-16,1041274,0,2023-03,16
38,2023-03-17,14096739,2,2023-03,17
39,2023-03-17,4398854,0,2023-03,17
40,2023-03-18,3922665,2,2023-03,18
41,2023-03-18,4687036,0,2023-03,18
42,2023-03-19,11159258,2,2023-03,19
43,2023-03-20,3428720,2,2023-03,20
44,2023-03-21,5203827,2,2023-03,21
45,2023-03-21,1539842,0,2023-03,21
46,2023-03-22,8422321,2,2023-03,22
47,2023-03-23,20683581,2,2023-03,23
48,2023-03-23,51093,0,2023-03,23
49,2023-03-24,351967,1,2023-03,24
50,2023-03-25,10564353,1,2023-03,25
51,2023-03-25,1908029,0,2023-03,25
52,2023-03-25,13766276,2,2023-03,25
53,2023-03-26,254078,1,2023-03,26
54,2023-03-28,3320170,0,2023-03,28
55,2023-03-28,1536569,1,2023-03,28
56,2023-03-29,4483234,1,2023-03,29
57,2023-03-29,9046160,2,2023-03,29
58,2023-03-29,1836660,0,2023-03,29
59,2023-03-30,18086350,2,2023-03,30
60,2023-03-30,5372941,0,2023-03,30
61,2023-03-30,9222555,1,2023-03,30
62,2023-03-31,6160,2,2023-03,31
63,2023-03-31,1483347,0,2023-03,31
64,2023-04-01,8158625,0,2023-04,1
65,2023-04-02,5146150,1,2023-04,2
66,2023-04-02,2642504,0,2023-04,2
67,2023-04-03,4222370,2,2023-04,3
68,2023-04-03,3270142,0,2023-04,3
69,2023-04-04,1405013,1,2023-04,4
70,2023-04-04,733926,0,2023-04,4
71,2023-04-04,13597346,2,2023-04,4
72,2023-04-05,7131939,2,2023-04,5
73,2023-04-05,2581057,1,2023-04,5
74,2023-04-06,4389412,0,2023-04,6
75,2023-04-06,6351328,1,2023-04,6
76,2023-04-06,4410845,2,2023-04,6
77,2023-04-07,2745244,0,2023-04,7
78,2023-04-07,4537177,1,2023-04,7
79,2023-04-07,12353848,2,2023-04,7
80,2023-04-08,896466,2,2023-04,8
81,2023-04-08,4029326,1,2023-04,8
82,2023-04-09,3533282,2,2023-04,9
83,2023-04-09,1326529,0,2023-04,9
84,2023-04-10,7505574,2,2023-04,10
85,2023-04-10,11094579,1,2023-04,10
86,2023-04-10,3818611,0,2023-04,10
87,2023-04-11,3011047,2,2023-04,11
88,2023-04-11,4316556,1,2023-04,11
89,2023-04-11,5700788,0,2023-04,11
90,2023-04-12,3969154,0,2023-04,12
91,2023-04-12,9680985,2,2023-04,12
92,2023-04-12,1349768,1,2023-04,12
93,2023-04-13,1715457,0,2023-04,13
94,2023-04-13,2622620,1,2023-04,13
95,2023-04-13,6925672,2,2023-04,13
96,2023-04-14,3045385,1,2023-04,14
97,2023-04-14,6121001,2,2023-04,14
98,2023-04-14,6428893,0,2023-04,14
99,2023-04-15,12360,0,2023-04,15
100,2023-04-15,3404126,2,2023-04,15
101,2023-04-16,4793417,0,2023-04,16
102,2023-04-16,7863039,1,2023-04,16
103,2023-04-16,2796507,2,2023-04,16
104,2023-04-17,1283038,0,2023-04,17
105,2023-04-17,6564199,2,2023-04,17
106,2023-04-17,2478274,1,2023-04,17
107,2023-04-18,4376898,2,2023-04,18
108,2023-04-18,3103861,1,2023-04,18
109,2023-04-18,3363965,0,2023-04,18
110,2023-04-19,12240785,1,2023-04,19
111,2023-04-19,4918944,0,2023-04,19
112,2023-04-19,7161813,2,2023-04,19
113,2023-04-20,1152219,0,2023-04,20
114,2023-04-20,12524801,2,2023-04,20
115,2023-04-20,3127942,1,2023-04,20
116,2023-04-21,168894,2,2023-04,21
117,2023-04-21,4053991,0,2023-04,21
118,2023-04-22,2599932,2,2023-04,22
119,2023-04-22,1029426,0,2023-04,22
120,2023-04-23,2038719,2,2023-04,23
121,2023-04-23,2510970,0,2023-04,23
122,2023-04-24,2181506,2,2023-04,24
123,2023-04-25,2403916,1,2023-04,25
124,2023-04-25,4627638,0,2023-04,25
125,2023-04-25,6555328,2,2023-04,25
126,2023-04-26,3167268,2,2023-04,26
127,2023-04-26,6730940,1,2023-04,26
128,2023-04-26,4903563,0,2023-04,26
129,2023-04-27,3491075,1,2023-04,27
130,2023-04-27,1769106,0,2023-04,27
131,2023-04-27,874025,2,2023-04,27
132,2023-04-28,7177343,2,2023-04,28
133,2023-04-28,3585181,1,2023-04,28
134,2023-04-28,5236420,0,2023-04,28
135,2023-04-29,5429548,2,2023-04,29
136,2023-04-29,9018132,1,2023-04,29
137,2023-04-29,2362437,0,2023-04,29
138,2023-04-30,2831467,0,2023-04,30
139,2023-04-30,8437786,2,2023-04,30
140,2023-05-01,7620767,0,2023-05,1
141,2023-05-01,4854423,2,2023-05,1
142,2023-05-01,1464307,2,2023-05,1
143,2023-05-02,5935458,1,2023-05,2
144,2023-05-02,3589742,0,2023-05,2
145,2023-05-02,6442189,2,2023-05,2
146,2023-05-03,5617393,1,2023-05,3
147,2023-05-03,2264295,0,2023-05,3
148,2023-05-03,8723213,2,2023-05,3
149,2023-05-04,3109526,2,2023-05,4
150,2023-05-05,1518372,0,2023-05,5
151,2023-05-05,7020507,2,2023-05,5
152,2023-05-06,1396619,0,2023-05,6
153,2023-05-06,1144003,2,2023-05,6
154,2023-05-07,5501513,0,2023-05,7
155,2023-05-07,379415,2,2023-05,7
156,2023-05-08,2803974,0,2023-05,8
157,2023-05-08,10713652,2,2023-05,8
158,2023-05-09,7927831,2,2023-05,9
159,2023-05-09,4601827,0,2023-05,9
160,2023-05-10,3603173,0,2023-05,10
161,2023-05-10,701170,2,2023-05,10
162,2023-05-11,4505071,0,2023-05,11
163,2023-05-11,2361756,2,2023-05,11
164,2023-05-12,6830668,2,2023-05,12
165,2023-05-12,3859672,0,2023-05,12
166,2023-05-13,1278286,0,2023-05,13
167,2023-05-13,18246647,2,2023-05,13
168,2023-05-14,2174414,0,2023-05,14
169,2023-05-14,1834125,2,2023-05,14
170,2023-05-15,2432643,2,2023-05,15
