,pew_religimp,pew_churatd,sex,educ,nonwhite,age,faminc_new,pid3,ideo5,QueerPhobia,ImmiPhobia,InterGBiasParty,InterGBiasCand,InterGBiasSup,LibMediaUse,ConMediaUse,Real_Threat,Symb_Threat,Evaluation,teamweight,caseid
300,1,6,1,4,1,65,97,2,4,3.0,3.0,18,87,90,1.0,4.33333333333333,5.0,3.85714285714286,2,1.05497397121027,1240322949
301,4,6,1,6,1,66,97,3,3,1.66666666666667,1.0,-61,-60,-60,4.33333333333333,1.0,3.5,5.0,0,0.519197675282533,1240325313
302,1,2,1,6,1,57,9,1,1,1.0,1.0,-47,-90,-79,3.33333333333333,1.66666666666667,2.5,4.0,0,0.725681602642071,1240325357
303,4,6,2,3,1,64,4,3,2,1.0,2.5,-80,-79,-99,4.66666666666667,4.66666666666667,4.0,5.0,0,0.873552496252135,1240348917
304,4,6,1,6,1,64,8,1,3,2.33333333333333,1.5,-70,-88,-76,3.0,1.66666666666667,4.25,3.71428571428571,0,0.725681602642071,1240349029
305,3,5,2,4,1,61,2,3,3,1.0,1.0,-34,-90,-80,4.33333333333333,2.0,3.75,4.42857142857143,0,0.873552496252135,1240350539
306,4,6,2,5,1,39,97,3,2,2.66666666666667,2.0,-77,-96,-75,2.66666666666667,1.33333333333333,4.0,4.28571428571429,0,0.737816280310873,1240351415
307,4,6,2,6,1,33,14,3,2,1.66666666666667,1.5,-69,-76,-82,4.33333333333333,3.33333333333333,4.5,4.28571428571429,0,0.855742920956741,1240353287
308,2,4,1,2,1,48,6,2,4,4.33333333333333,3.5,50,100,100,3.33333333333333,3.66666666666667,5.0,5.0,2,1.40623566948165,1240356865
309,2,6,1,2,1,42,97,3,3,2.33333333333333,3.0,-7,-77,-69,3.33333333333333,3.0,3.25,3.0,0,0.913404358106246,1240358471
310,1,2,2,6,1,62,11,3,3,3.33333333333333,4.0,29,75,99,1.0,3.66666666666667,5.0,4.14285714285714,2,1.23283474441516,1240375095
311,3,5,2,5,1,64,7,3,3,1.66666666666667,1.0,-63,-87,-69,5.0,3.0,3.25,3.85714285714286,0,0.852380503966956,1240402273
312,3,5,2,3,1,56,6,1,2,1.0,1.5,-73,-95,-94,5.0,1.33333333333333,4.5,4.57142857142857,0,0.873552496252135,1240402527
313,2,2,1,4,1,69,5,2,4,2.66666666666667,2.5,80,60,50,1.0,4.0,4.5,4.28571428571429,2,1.05497397121027,1240403581
314,3,5,2,3,1,58,8,3,3,1.0,1.5,-53,-74,-82,2.0,2.0,5.0,4.85714285714286,0,0.873552496252135,1240403591
315,2,3,1,6,1,31,11,3,2,4.0,3.5,18,-11,22,4.66666666666667,4.0,3.25,3.14285714285714,0,0.933242864183629,1240406659
